year,customer_id,gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days_inactive,customer_support_calls,churn
0,2015,100198,0,36,62,0,0,148.35,12.2,16.81,82,1,4.0,1,0
1,2015,100643,0,39,149,0,0,294.45,7.7,33.37,87,3,3.0,2,0
2,2015,100756,0,65,126,0,0,87.3,11.9,9.89,91,1,4.0,5,1
3,2015,101595,0,24,131,0,1,321.3,9.5,36.41,102,4,3.0,3,0
4,2015,101653,0,40,191,0,0,243.0,10.9,27.54,83,7,3.0,1,0
5,2015,101953,1,31,65,0,0,193.65,12.7,21.95,111,6,4.0,4,1
6,2015,103051,1,54,59,0,0,239.25,10.2,27.12,106,4,3.0,0,0
7,2015,103225,0,40,50,0,0,196.65,5.6,22.29,88,9,3.0,5,1
8,2015,103408,1,61,205,0,1,263.7,7.8,29.89,64,5,3.0,2,0
9,2015,103676,1,31,63,0,0,316.8,12.3,35.9,58,2,4.0,0,0
10,2015,103697,1,34,114,0,1,338.7,8.4,38.39,100,9,3.0,4,0
11,2015,103738,1,34,107,0,0,201.0,7.3,22.78,79,3,2.0,3,0
12,2015,104025,0,30,84,0,0,112.95,12.3,12.8,134,1,4.0,1,0
13,2015,104904,0,23,142,0,0,218.1,10.9,24.72,96,1,3.0,1,0
14,2015,106264,0,21,137,0,0,313.2,11.1,35.5,130,5,3.0,0,0
15,2015,106415,1,30,100,0,1,328.05,12.1,37.18,117,4,4.0,1,0
16,2015,106723,1,44,84,0,0,239.25,7.2,27.12,82,4,2.0,2,0
17,2015,107195,0,45,99,0,0,300.0,11.4,34.0,82,2,4.0,3,0
18,2015,107251,1,39,115,0,0,367.5,13.7,41.65,124,8,4.0,1,1
19,2015,107707,0,59,194,0,0,72.6,18.2,8.23,87,1,5.0,1,0
20,2015,107962,1,57,104,0,0,246.3,10.7,27.91,117,8,3.0,1,0
21,2015,108471,1,32,170,0,0,369.6,9.1,41.89,95,8,3.0,0,0
22,2015,108519,0,45,76,0,0,395.1,11.4,44.78,101,5,4.0,1,1
